order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,status
1,498,47,3,266.12,798.36,2025-09-27,returned
2,260,49,2,92.28,184.56,2025-08-25,completed
3,431,41,3,259.15,777.45,2025-12-05,returned
4,79,39,2,123.41,246.82,2025-07-13,completed
5,277,49,2,92.28,184.56,2025-12-24,returned
6,166,1,5,13.34,66.7,2026-06-12,pending
7,476,2,1,71.61,71.61,2025-09-02,completed
8,30,20,2,19.46,38.92,2026-02-09,completed
9,44,37,1,225.02,225.02,2025-11-16,pending
10,393,5,5,33.54,167.7,2025-08-25,completed
11,485,9,4,87.78,351.12,2026-02-22,returned
12,271,11,3,130.24,390.72,2025-12-25,returned
13,476,28,2,141.89,283.78,2025-07-29,returned
14,366,49,2,92.28,184.56,2025-08-11,completed
15,225,26,3,196.51,589.53,2026-01-12,returned
16,127,29,1,208.31,208.31,2026-04-11,completed
17,11,5,3,33.54,100.62,2025-12-01,returned
18,302,36,2,47.99,95.98,2025-09-09,completed
19,363,1,1,13.34,13.34,2026-02-10,completed
20,464,15,1,83.76,83.76,2026-02-21,completed
21,264,22,1,260.74,260.74,2025-07-28,completed
22,110,18,4,187.83,751.32,2026-06-06,returned
23,296,9,5,87.78,438.9,2025-12-05,pending
24,414,16,4,141.06,564.24,2026-03-21,pending
25,50,13,1,36.04,36.04,2025-09-25,pending
26,211,23,4,139.29,557.16,2025-07-27,pending
27,345,47,1,266.12,266.12,2025-06-30,completed
28,373,4,4,179.59,718.36,2025-07-15,completed
29,99,7,2,216.5,433.0,2025-07-14,completed
30,72,35,4,266.09,1064.36,2026-01-24,pending
31,237,12,3,69.29,207.87,2026-03-26,completed
32,414,5,4,33.54,134.16,2025-09-22,returned
33,334,7,1,216.5,216.5,2026-04-14,returned
34,475,1,1,13.34,13.34,2025-12-07,completed
35,249,11,4,130.24,520.96,2025-06-24,pending
36,463,14,4,111.53,446.12,2026-05-31,completed
37,2,11,4,130.24,520.96,2025-12-27,pending
38,147,17,4,29.16,116.64,2025-08-13,pending
39,339,45,5,79.91,399.55,2026-02-25,pending
40,152,10,2,229.08,458.16,2026-02-20,completed
41,377,4,5,179.59,897.95,2025-06-17,returned
42,30,4,3,179.59,538.77,2026-06-14,completed
43,258,38,4,225.61,902.44,2025-07-01,returned
44,492,11,1,130.24,130.24,2026-03-02,returned
45,36,6,2,182.98,365.96,2025-11-15,returned
46,207,5,2,33.54,67.08,2025-09-28,completed
47,297,37,2,225.02,450.04,2025-08-14,returned
48,42,3,5,204.94,1024.7,2026-03-15,pending
49,290,43,5,181.33,906.65,2025-10-23,returned
50,105,21,3,295.65,886.95,2026-06-03,completed
51,203,16,3,141.06,423.18,2025-11-15,completed
52,235,43,3,181.33,543.99,2026-01-26,completed
53,5,49,1,92.28,92.28,2025-06-18,pending
54,52,40,5,155.79,778.95,2026-01-03,completed
55,260,35,2,266.09,532.18,2026-03-18,completed
56,452,9,3,87.78,263.34,2026-06-17,completed
57,146,16,3,141.06,423.18,2026-04-12,completed
